,Cor,Total,Faixa Etária,Óbitos,Habitantes,Óbitos por 100 mil
0,Branca,14297,0-4a,18.0,444168,4.052520667855406
1,Preta,2108,0-4a,0.0,29954,0.0
2,Amarela,544,0-4a,0.0,8329,0.0
3,Parda,5367,0-4a,17.0,227650,7.46760377772897
4,Indígena,16,0-4a,1.0,813,123.00123001230013
5,Total,23088,0-4a,38.0,710927,5.345133888570838
6,Branca,14297,5-9a,8.0,433860,1.8439127829253676
7,Preta,2108,5-9a,1.0,39476,2.53318471982977
8,Amarela,544,5-9a,0.0,9020,0.0
9,Parda,5367,5-9a,5.0,275068,1.8177323425480245
10,Indígena,16,5-9a,0.0,840,0.0
11,Total,23088,5-9a,14.0,758279,1.8462861295116968
12,Branca,14297,10-14a,8.0,466843,1.7136382038501166
13,Preta,2108,10-14a,0.0,52706,0.0
14,Amarela,544,10-14a,0.0,10726,0.0
15,Parda,5367,10-14a,5.0,336289,1.4868163989901544
16,Indígena,16,10-14a,1.0,843,118.62396204033215
17,Total,23088,10-14a,14.0,867430,1.6139630863585535
18,Branca,14297,15-19a,17.0,462715,3.6739677771414367
19,Preta,2108,15-19a,4.0,56272,7.108330963889679
20,Amarela,544,15-19a,1.0,12276,8.145975887911371
21,Parda,5367,15-19a,13.0,309997,4.193588970215841
22,Indígena,16,15-19a,0.0,982,0.0
23,Total,23088,15-19a,36.0,842257,4.274229837211207
24,Branca,14297,20-24a,41.0,570950,7.181014099308171
25,Preta,2108,20-24a,8.0,68610,11.660107855997667
26,Amarela,544,20-24a,0.0,17282,0.0
27,Parda,5367,20-24a,27.0,333423,8.097821685966474
28,Indígena,16,20-24a,0.0,1352,0.0
29,Total,23088,20-24a,81.0,991659,8.168130375461725
30,Branca,14297,25-29a,52.0,636194,8.17360742163554
31,Preta,2108,25-29a,11.0,75869,14.498675348297724
32,Amarela,544,25-29a,0.0,21097,0.0
33,Parda,5367,25-29a,43.0,339887,12.651263508165949
34,Indígena,16,25-29a,0.0,1484,0.0
35,Total,23088,25-29a,106.0,1074583,9.864291543789545
36,Branca,14297,30-34a,125.0,599762,20.841600501532273
37,Preta,2108,30-34a,24.0,73139,32.81423043793325
38,Amarela,544,30-34a,0.0,20445,0.0
39,Parda,5367,30-34a,87.0,315436,27.58087218960423
40,Indígena,16,30-34a,1.0,1256,79.61783439490446
41,Total,23088,30-34a,240.0,1010076,23.760588312166607
42,Branca,14297,35-39a,177.0,524122,33.77076329556859
43,Preta,2108,35-39a,49.0,64755,75.66983244537101
44,Amarela,544,35-39a,2.0,18141,11.024750565018467
45,Parda,5367,35-39a,139.0,280563,49.54323984274477
46,Indígena,16,35-39a,0.0,1072,0.0
47,Total,23088,35-39a,379.0,888684,42.647330209613315
48,Branca,14297,40-44a,255.0,485640,52.508030639980234
49,Preta,2108,40-44a,68.0,59093,115.07285126833973
50,Amarela,544,40-44a,2.0,17467,11.4501631648251
51,Parda,5367,40-44a,197.0,249819,78.85709253499533
52,Indígena,16,40-44a,0.0,939,0.0
53,Total,23088,40-44a,540.0,812979,66.42237991387232
54,Branca,14297,45-49a,318.0,465774,68.27345450798026
55,Preta,2108,45-49a,92.0,51910,177.22982084376807
56,Amarela,544,45-49a,8.0,17002,47.05328784848842
57,Parda,5367,45-49a,254.0,207196,122.58923917450144
58,Indígena,16,45-49a,1.0,823,121.50668286755771
59,Total,23088,45-49a,700.0,742720,94.24816889271865
60,Branca,14297,50-54a,528.0,425601,124.05985888191053
61,Preta,2108,50-54a,119.0,47914,248.3616479525817
62,Amarela,544,50-54a,10.0,17422,57.398691309838135
63,Parda,5367,50-54a,390.0,175970,221.62868670796158
64,Indígena,16,50-54a,0.0,734,0.0
65,Total,23088,50-54a,1087.0,667658,162.8079046457917
66,Branca,14297,55-59a,825.0,358120,230.3697084776053
67,Preta,2108,55-59a,173.0,37809,457.56301409717264
68,Amarela,544,55-59a,25.0,17874,139.86796464137853
69,Parda,5367,55-59a,437.0,133704,326.84138096092863
70,Indígena,16,55-59a,1.0,590,169.4915254237288
71,Total,23088,55-59a,1528.0,548113,278.7746322382428
72,Branca,14297,60-64a,1200.0,283006,424.0192787432069
73,Preta,2108,60-64a,235.0,27559,852.715991146268
74,Amarela,544,60-64a,28.0,17175,163.02765647743814
75,Parda,5367,60-64a,616.0,94896,649.1316809981454
76,Indígena,16,60-64a,0.0,413,0.0
77,Total,23088,60-64a,2156.0,423055,509.6264079138646
78,Branca,14297,65-69a,1504.0,208206,722.3615073532943
79,Preta,2108,65-69a,280.0,18537,1510.4925284566002
80,Amarela,544,65-69a,42.0,13987,300.2788303424609
81,Parda,5367,65-69a,695.0,61310,1133.5834284782254
82,Indígena,16,65-69a,2.0,293,682.5938566552901
83,Total,23088,65-69a,2611.0,302338,863.6029873849798
84,Branca,14297,70-74a,1736.0,169901,1021.7715022277679
85,Preta,2108,70-74a,277.0,13717,2019.3919953342568
86,Amarela,544,70-74a,65.0,11468,566.7945587722357
87,Parda,5367,70-74a,693.0,41992,1650.314345589636
88,Indígena,16,70-74a,2.0,221,904.9773755656108
89,Total,23088,70-74a,2857.0,237301,1203.9561569483483
90,Branca,14297,75 e mais,7482.0,128717,5812.752006339489
91,Preta,2108,75 e mais,765.0,9097,8409.365724964275
92,Amarela,544,75 e mais,361.0,7516,4803.086748270357
93,Parda,5367,75 e mais,1747.0,25485,6855.012752599569
94,Indígena,16,75 e mais,7.0,152,4605.263157894737
95,Total,23088,75 e mais,10693.0,170969,6254.350203838123
