Semana,Amarela,Branca,Indígena,Parda,Preta
SE_20 12,2.0,51.0,0.0,5.0,2.0
SE_20 13,14.0,280.0,1.0,47.0,19.0
SE_20 14,42.0,871.0,2.0,215.0,90.0
SE_20 15,87.0,1899.0,5.0,554.0,225.0
SE_20 16,151.0,3369.0,8.0,1080.0,415.0
SE_20 17,243.0,5340.0,12.0,1813.0,683.0
SE_20 18,359.0,7945.0,16.0,2829.0,1053.0
SE_20 19,505.0,11165.0,22.0,4146.0,1509.0
SE_20 20,669.0,15070.0,29.0,5761.0,2085.0
SE_20 21,852.0,19643.0,37.0,7701.0,2746.0
SE_20 22,1054.0,24903.0,45.0,9911.0,3514.0
SE_20 23,1278.0,30817.0,54.0,12383.0,4399.0
SE_20 24,1526.0,37389.0,64.0,15125.0,5396.0
SE_20 25,1789.0,44516.0,75.0,18076.0,6489.0
SE_20 26,2068.0,52129.0,86.0,21202.0,7659.0
SE_20 27,2368.0,60167.0,97.0,24484.0,8904.0
SE_20 28,2679.0,68644.0,108.0,27916.0,10208.0
SE_20 29,3009.0,77562.0,120.0,31490.0,11581.0
SE_20 30,3344.0,86887.0,132.0,35212.0,13016.0
SE_20 31,3692.0,96566.0,144.0,39061.0,14493.0
SE_20 32,4058.0,106623.0,156.0,43052.0,16011.0
SE_20 33,4435.0,117010.0,168.0,47172.0,17580.0
SE_20 34,4823.0,127679.0,180.0,51396.0,19192.0
SE_20 35,5222.0,138648.0,192.0,55708.0,20831.0
SE_20 36,5632.0,149855.0,204.0,60100.0,22505.0
SE_20 37,6053.0,161301.0,217.0,64577.0,24210.0
SE_20 38,6480.0,172958.0,230.0,69119.0,25949.0
SE_20 39,6912.0,184779.0,244.0,73714.0,27715.0
SE_20 40,7349.0,196776.0,258.0,78363.0,29504.0
SE_20 41,7790.0,208911.0,272.0,83068.0,31312.0
SE_20 42,8237.0,221152.0,286.0,87820.0,33140.0
SE_20 43,8688.0,233485.0,300.0,92603.0,34986.0
SE_20 44,9145.0,245923.0,314.0,97423.0,36841.0
SE_20 45,9604.0,258466.0,329.0,102279.0,38710.0
SE_20 46,10069.0,271146.0,344.0,107177.0,40595.0
SE_20 47,10544.0,283985.0,359.0,112123.0,42496.0
SE_20 48,11028.0,297016.0,374.0,117120.0,44427.0
SE_20 49,11520.0,310275.0,389.0,122193.0,46385.0
SE_20 50,12023.0,323796.0,405.0,127332.0,48383.0
SE_20 51,12537.0,337618.0,421.0,132555.0,50420.0
SE_20 52,13066.0,351724.0,437.0,137858.0,52501.0
SE_20 53,13610.0,366021.0,453.0,143225.0,54609.0
