Semana,Amarela,Branca,Indígena,Parda,Preta,Total
11,0.0,3.0,0.0,0.0,0.0,3.0
12,2.0,51.0,0.0,5.0,2.0,60.0
13,12.0,229.0,1.0,42.0,17.0,301.0
14,28.0,595.0,1.0,170.0,73.0,867.0
15,46.0,1040.0,3.0,348.0,139.0,1576.0
16,67.0,1492.0,3.0,537.0,195.0,2294.0
17,98.0,2011.0,4.0,752.0,277.0,3142.0
18,122.0,2667.0,4.0,1043.0,381.0,4217.0
19,152.0,3287.0,6.0,1346.0,468.0,5259.0
20,170.0,3975.0,7.0,1645.0,590.0,6387.0
21,189.0,4649.0,8.0,1973.0,675.0,7494.0
22,208.0,5345.0,8.0,2247.0,782.0,8590.0
23,230.0,6005.0,9.0,2510.0,901.0,9655.0
24,254.0,6666.0,10.0,2776.0,1014.0,10720.0
25,269.0,7228.0,11.0,2986.0,1113.0,11607.0
26,285.0,7718.0,11.0,3162.0,1192.0,12368.0
27,306.0,8148.0,11.0,3320.0,1269.0,13054.0
28,317.0,8591.0,11.0,3472.0,1330.0,13721.0
29,336.0,9036.0,12.0,3613.0,1399.0,14396.0
30,341.0,9446.0,12.0,3764.0,1460.0,15023.0
31,354.0,9803.0,12.0,3894.0,1502.0,15565.0
32,372.0,10180.0,12.0,4037.0,1543.0,16144.0
33,383.0,10517.0,12.0,4170.0,1595.0,16677.0
34,393.0,10749.0,12.0,4260.0,1635.0,17049.0
35,404.0,11054.0,12.0,4348.0,1663.0,17481.0
36,415.0,11291.0,12.0,4430.0,1697.0,17845.0
37,426.0,11533.0,12.0,4515.0,1728.0,18214.0
38,433.0,11742.0,12.0,4581.0,1764.0,18532.0
39,438.0,11907.0,13.0,4636.0,1791.0,18785.0
40,443.0,12081.0,13.0,4690.0,1813.0,19040.0
41,447.0,12209.0,13.0,4743.0,1833.0,19245.0
42,454.0,12310.0,13.0,4788.0,1851.0,19416.0
43,458.0,12399.0,13.0,4818.0,1866.0,19554.0
44,461.0,12478.0,13.0,4845.0,1873.0,19670.0
45,463.0,12570.0,14.0,4873.0,1886.0,19806.0
46,468.0,12694.0,14.0,4909.0,1899.0,19984.0
